Timestamp,Жасыңыз нешеде? / Сколько Вам лет?,Қай аймақта тұрасыз? / В каком регионе Вы проживаете?,"Әлеуметтік желілерді қолданасыз ба? / Пользуетесь ли Вы социальными сетями? (Whatsapp, Instagram, Facebook, Telegram, Twitter, т.б./ и т.д)",Әлеуметтік желілерде күніне қанша сағат өткізесіз? / Сколько часов Вы проводите в социальных сетях?,Қандай әлеуметтік желіде көп уақытыңызды өткізесіз? / В какой социальной сети Вы проводите больше всего времени?,"Пандемия басталғаннан кейін, Сізде әлеуметтік желілерде өткізу уақыты көбейді ме? / Увеличилось ли Ваше время проведения в социальных сетях с начала пандемии?",Әлеуметтік желілерді қолдану Сіздің оқу үлгеріміне әсер ете ме? / Сказывается ли использование социальных сетей на Вашей успеваемости в учебе?,Әлеуметтік желілерді көп уақытта қолдану Сіздің менталды денсаулығыңызға әсер ете ме? / Сказывается ли количество проведенного времени в социальных сетях на Вашем ментальном здоровье?,"Әлеуметтік желілерде өткізетін уақытыңызды азайтқыңыз келе ме? / Хотели бы Вы уменьшить время, которое вы проводите в социальных сетях?",Сізде әлеуметтік желілерге құмарлық бар деп ойлайсыз ба? / Считаете ли Вы себя зависимым от социальных сетей?
12/8/2021 11:39:35,18-24,Батыс Қазақстан / Западный Казахстан,Иә / Да,2-4 сағат / 2-4 часа,Telegram,Иә / Да,Иә / Да,Жоқ / Нет,Иә / Да,Иә / Да
12/8/2021 11:40:55,18-ге дейін? / до 18,Алматы,Иә / Да,5-6 сағат / 5-6 часов,Telegram,Иә / Да,Иә / Да,Иә / Да,Иә / Да,Иә / Да
12/8/2021 11:41:28,18-ге дейін? / до 18,Батыс Қазақстан / Западный Казахстан,Иә / Да,5-6 сағат / 5-6 часов,Telegram,Иә / Да,Иә / Да,Жоқ / Нет,Иә / Да,Иә / Да
12/8/2021 11:45:52,18-24,Батыс Қазақстан / Западный Казахстан,Иә / Да,2-4 сағат / 2-4 часа,Telegram,Иә / Да,Иә / Да,Иә / Да,Иә / Да,Жоқ / Нет
12/8/2021 11:49:24,18-24,Алматы,Иә / Да,7-8 сағат / 7-8 часов,TikTok,Иә / Да,Жоқ / Нет,Иә / Да,Жоқ / Нет,Жоқ / Нет
12/8/2021 11:57:08,18-24,Оңтүстік Қазақстан / Южный Казахстан,Иә / Да,7-8 сағат / 7-8 часов,Instagram,Иә / Да,Иә / Да,Иә / Да,Иә / Да,Иә / Да
12/8/2021 11:58:56,18-24,Батыс Қазақстан / Западный Казахстан,Иә / Да,1-2 сағат / 1-2 часа,Whatsapp,Иә / Да,Иә / Да,Иә / Да,Иә / Да,Иә / Да
12/8/2021 11:59:00,18-ге дейін? / до 18,Оңтүстік Қазақстан / Южный Казахстан,Иә / Да,2-4 сағат / 2-4 часа,Telegram,Жоқ / Нет,Иә / Да,Иә / Да,Иә / Да,Жоқ / Нет
12/8/2021 12:00:24,18-ге дейін? / до 18,Алматы,Иә / Да,2-4 сағат / 2-4 часа,Instagram,Иә / Да,Иә / Да,Иә / Да,Иә / Да,Иә / Да
12/8/2021 12:00:56,18-24,Солтүстік Қазақстан / Северный Казахстан,Иә / Да,1-2 сағат / 1-2 часа,Telegram,Иә / Да,Иә / Да,Жоқ / Нет,Жоқ / Нет,Жоқ / Нет
12/8/2021 12:02:34,18-24,Алматы,Иә / Да,5-6 сағат / 5-6 часов,Telegram,Иә / Да,Жоқ / Нет,Иә / Да,Иә / Да,Жоқ / Нет
12/8/2021 12:02:56,18-ге дейін? / до 18,Алматы,Иә / Да,5-6 сағат / 5-6 часов,Telegram,Иә / Да,Жоқ / Нет,Жоқ / Нет,Иә / Да,Иә / Да
12/8/2021 12:08:20,18-ге дейін? / до 18,Оңтүстік Қазақстан / Южный Казахстан,Иә / Да,8 сағаттан артық / больше 8 часов,басқа / другое,Жоқ / Нет,Иә / Да,Иә / Да,Иә / Да,Иә / Да
12/8/2021 12:11:41,18-ге дейін? / до 18,Шығыс Қазақстан / Восточный Казахстан,Иә / Да,8 сағаттан артық / больше 8 часов,TikTok,Иә / Да,Жоқ / Нет,Иә / Да,Иә / Да,Иә / Да
12/8/2021 12:17:25,18-24,Алматы,Иә / Да,5-6 сағат / 5-6 часов,Telegram,Иә / Да,Жоқ / Нет,Иә / Да,Иә / Да,Иә / Да
12/8/2021 12:20:25,18-ге дейін? / до 18,Алматы,Иә / Да,2-4 сағат / 2-4 часа,TikTok,Иә / Да,Иә / Да,Иә / Да,Иә / Да,Иә / Да
12/8/2021 12:21:44,18-24,Алматы,Иә / Да,5-6 сағат / 5-6 часов,TikTok,Иә / Да,Иә / Да,Иә / Да,Иә / Да,Иә / Да
12/8/2021 12:24:09,18-24,Алматы,Иә / Да,7-8 сағат / 7-8 часов,TikTok,Иә / Да,Иә / Да,Иә / Да,Жоқ / Нет,Иә / Да
12/8/2021 12:24:19,18-ге дейін? / до 18,Алматы,Иә / Да,5-6 сағат / 5-6 часов,Instagram,Иә / Да,Жоқ / Нет,Иә / Да,Иә / Да,Иә / Да
12/8/2021 12:24:31,18-24,Алматы,Иә / Да,5-6 сағат / 5-6 часов,Whatsapp,Иә / Да,Иә / Да,Иә / Да,Иә / Да,Иә / Да
12/8/2021 12:25:22,18-24,Солтүстік Қазақстан / Северный Казахстан,Иә / Да,5-6 сағат / 5-6 часов,Instagram,Иә / Да,Жоқ / Нет,Жоқ / Нет,Иә / Да,Иә / Да
12/8/2021 12:26:23,18-24,Алматы,Иә / Да,1-2 сағат / 1-2 часа,Instagram,Иә / Да,Иә / Да,Жоқ / Нет,Иә / Да,Иә / Да
12/8/2021 12:27:34,18-24,Алматы,Иә / Да,7-8 сағат / 7-8 часов,Telegram,Иә / Да,Иә / Да,Иә / Да,Иә / Да,Иә / Да
12/8/2021 12:28:54,18-24,Алматы,Иә / Да,7-8 сағат / 7-8 часов,Whatsapp,Иә / Да,Жоқ / Нет,Жоқ / Нет,Жоқ / Нет,Иә / Да
12/8/2021 12:30:05,18-24,Алматы,Иә / Да,2-4 сағат / 2-4 часа,TikTok,Иә / Да,Жоқ / Нет,Жоқ / Нет,Жоқ / Нет,Иә / Да
12/8/2021 12:33:03,18-24,Оңтүстік Қазақстан / Южный Казахстан,Иә / Да,1-2 сағат / 1-2 часа,басқа / другое,Жоқ / Нет,Жоқ / Нет,Жоқ / Нет,Иә / Да,Иә / Да
12/8/2021 12:35:18,18-24,Шығыс Қазақстан / Восточный Казахстан,Иә / Да,7-8 сағат / 7-8 часов,Telegram,Иә / Да,Жоқ / Нет,Иә / Да,Жоқ / Нет,Иә / Да
12/8/2021 12:42:20,18-ге дейін? / до 18,Алматы,Иә / Да,1-2 сағат / 1-2 часа,Telegram,Иә / Да,Иә / Да,Жоқ / Нет,Иә / Да,Жоқ / Нет
12/8/2021 12:42:36,18-24,Алматы,Иә / Да,2-4 сағат / 2-4 часа,Telegram,Иә / Да,Жоқ / Нет,Жоқ / Нет,Иә / Да,Жоқ / Нет
12/8/2021 12:54:22,18-24,Алматы,Иә / Да,2-4 сағат / 2-4 часа,Instagram,Иә / Да,Иә / Да,Иә / Да,Иә / Да,Жоқ / Нет
12/8/2021 12:58:03,18-ге дейін? / до 18,Алматы,Иә / Да,5-6 сағат / 5-6 часов,TikTok,Иә / Да,Иә / Да,Жоқ / Нет,Иә / Да,Иә / Да
12/8/2021 13:00:03,18-24,Шымкент,Иә / Да,8 сағаттан артық / больше 8 часов,Instagram,Иә / Да,Жоқ / Нет,Жоқ / Нет,Иә / Да,Жоқ / Нет
12/8/2021 13:05:45,18-ге дейін? / до 18,Оңтүстік Қазақстан / Южный Казахстан,Иә / Да,8 сағаттан артық / больше 8 часов,TikTok,Иә / Да,Иә / Да,Иә / Да,Иә / Да,Иә / Да
12/8/2021 13:16:17,18-24,Батыс Қазақстан / Западный Казахстан,Иә / Да,2-4 сағат / 2-4 часа,Telegram,Иә / Да,Жоқ / Нет,Иә / Да,Иә / Да,Жоқ / Нет
12/8/2021 13:32:18,18-ге дейін? / до 18,Орталық Қазақстан / Центральный Казахстан,Иә / Да,7-8 сағат / 7-8 часов,Instagram,Иә / Да,Иә / Да,Жоқ / Нет,Иә / Да,Иә / Да
12/8/2021 13:32:41,18-24,Оңтүстік Қазақстан / Южный Казахстан,Иә / Да,2-4 сағат / 2-4 часа,басқа / другое,Иә / Да,Иә / Да,Иә / Да,Иә / Да,Иә / Да
12/8/2021 14:20:22,18-24,Батыс Қазақстан / Западный Казахстан,Иә / Да,5-6 сағат / 5-6 часов,Telegram,Иә / Да,Жоқ / Нет,Иә / Да,Иә / Да,Жоқ / Нет
12/8/2021 15:05:34,18-24,Шымкент,Иә / Да,7-8 сағат / 7-8 часов,Instagram,Иә / Да,Иә / Да,Иә / Да,Иә / Да,Иә / Да
12/8/2021 17:26:34,18-24,Алматы,Иә / Да,5-6 сағат / 5-6 часов,Instagram,Жоқ / Нет,Иә / Да,Иә / Да,Иә / Да,Жоқ / Нет
12/9/2021 11:34:18,18-24,Алматы,Иә / Да,1-2 сағат / 1-2 часа,TikTok,Иә / Да,Иә / Да,Иә / Да,Иә / Да,Жоқ / Нет